psraid,sample,int_date,state,sex,"[Q1] Overall, how would you rate your community as a place to live? Would you say it is","[Q3] Overall, how would you rate the economy in your community today? ","[eminuse] Do you use the internet or email, at least occasionally? ","[intmob] Do you access the internet on a cell phone, tablet or other mobile handheld device, at least occasionally?",[intfreq] About how often do you use the internet?,[home4nw] Do you currently subscribe to internet service at HOME? ,"[device1a] Next, do you have a cell phone, or not? ",smartphone,[q5a] Please tell me if you ever use your cell phone to do any of the following things. Do you ever use your cell phone to Participate in a video call or video chat?,"[q5b] Buy a product online, such as books, music, toys or clothing","[q5c] Get directions, recommendations, or other information related to your location",[q5d] Get sports scores or analysis ,[q5e] Watch movies or TV shows through a paid subscription service like NetFlix or Hulu Plus ,"[q5f] Listen to an online radio or music service, such as Pandora or Spotify","[date1a] Have YOU, personally, ever used an online dating site such as Match.com, eHarmony, or OK Cupid?",[date2a] Have you ever used a dating app on your cell phone? ,[date3a] Do you personally know anyone who has Used an online dating site or app?,[date3b] Do you personally know anyone who has been in a long-term relationship with or married someone they met through an online dating site or app?,[date4a] Online dating is a good way to meet people,[date4b] Online dating allows people to find a better match for themselves because they can get to know a lot more people,[date4c] People who use online dating sites are desperate,[date4d] Online dating keeps people from settling down because they always have options for people to date,[date4e] Online dating is easier and more efficient than other ways of meeting people ,[date4f] Online dating is more dangerous than other ways of meeting people ,age,"[marital] Are you currently married, living with a partner, divorced, separated, widowed, or have you never been married? ","[hh1] How many adults age 18 and over currently live in your household, INCLUDING YOURSELF?",[educ2] What is the highest level of school you have completed or the highest degree you have received?,"[party] In politics TODAY, do you consider yourself a Republican, Democrat, or independent?","[ideo] In general, would you describe your political views as ",income,zipcode
100006,1,61015,51,Female,1,2,1,1,1,1,Yes,"Yes, smartphone",No,No,Yes, , , ,No,No,No,No,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,47,Married,4,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,Very conservative,(VOL.) Refused,20112
100009,1,61015,24,Female,2,3,1,1,5,1,Yes,"Yes, smartphone", , , ,No,No,Yes,No,No,No,No,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,AGREE,63,Married,2,"Some college, no degree (includes some community college)",Democrat,Moderate,"50 to under $75,000",21239
100011,1,61015,39,Female,1,2,2,2, , ,Yes,"No, not a smartphone", , , ,No,No,No, , ,No,No,DISAGREE,DISAGREE,DON'T KNOW,DISAGREE,DISAGREE,AGREE,86,Widowed,1,Less than high school (Grades 1-8 or no formal schooling),Republican,Very conservative,"20 to under $30,000",44730
100039,1,61015,37,Female,1,2,1,1,2,1,Yes,"Yes, smartphone", , , ,No,Yes,Yes,No,No,Yes,Yes,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,AGREE,40,Married,3,Two year associate degree from a college or university,Republican,Conservative,"50 to under $75,000",27028
100040,1,61015,21,Female,1,2,1,2,3,1,No, , , , , , , ,No, ,No,Yes,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE,65,#N/A,9,"Some college, no degree (includes some community college)",(VOL.) Refused,Very conservative,"20 to under $30,000",40511
100043,1,62215,20,Female,1,2,1,1,4,1,Yes,"Yes, smartphone",No,No,Yes, , , ,No,No,No,No,DISAGREE,AGREE,DISAGREE,AGREE,AGREE,DISAGREE,69,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,Moderate,"100 to under $150,000",67601
100049,1,61015,42,Male,1,4,2,2, , ,Yes,"No, not a smartphone",No,No,No, , , , , ,No,No,DISAGREE,DISAGREE,REFUSED,AGREE,DISAGREE,AGREE,72,Married,2,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Independent,Very conservative,(VOL.) Refused,15748
100051,1,61915,26,Male,1,2,2,2, , ,Yes,"No, not a smartphone",No,No,No, , , , , ,No,No,AGREE,AGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,70,Married,2,"Some college, no degree (includes some community college)",Republican,Conservative,"75 to under $100,000",49690
100058,1,61015,40,Male,2,2,1,1,3,1,Yes,"Yes, smartphone", , , ,Yes,No,Yes,No,No,Yes,No,DISAGREE,DISAGREE,AGREE,AGREE,DISAGREE,AGREE,77,Widowed,1,"Four year college or university degree/BachelorÍs degree (e.g., BS, BA, AB)",Democrat,Very liberal?,"50 to under $75,000",73655
100059,1,61015,23,Male,3,4,2,2, , ,Yes,Not sure/Don't know,No,No,No, , , , , ,No,No,DISAGREE,DISAGREE,DISAGREE,AGREE,DISAGREE,AGREE,73,Married,4,High school graduate (Grade 12 with diploma or GED certificate),Independent,"Liberal, OR","20 to under $30,000",4412
