Park,Year,Recreation Visitors,Tent Campers,RV Campers,Backcountry Campers,
Abraham Lincoln Birthplace NHP,1934,"175,000",,,,
Abraham Lincoln Birthplace NHP,1935,"89,355",,,,
Abraham Lincoln Birthplace NHP,1936,"149,665",,,,
Abraham Lincoln Birthplace NHP,1937,"111,840",,,,
Abraham Lincoln Birthplace NHP,1938,"121,144",,,,
Abraham Lincoln Birthplace NHP,1939,"112,626",,,,
Abraham Lincoln Birthplace NHP,1940,"136,945",,,,
Abraham Lincoln Birthplace NHP,1941,"110,830",,,,
Abraham Lincoln Birthplace NHP,1942,"59,210",,,,
Abraham Lincoln Birthplace NHP,1943,"13,520",,,,
Abraham Lincoln Birthplace NHP,1944,"13,060",,,,
Abraham Lincoln Birthplace NHP,1945,"23,271",,,,
Abraham Lincoln Birthplace NHP,1946,"51,056",,,,
Abraham Lincoln Birthplace NHP,1947,"60,323",,,,
Abraham Lincoln Birthplace NHP,1948,"75,150",,,,
Abraham Lincoln Birthplace NHP,1949,"89,793",,,,
Abraham Lincoln Birthplace NHP,1950,"136,487",,,,
Abraham Lincoln Birthplace NHP,1951,"169,999",,,,
Abraham Lincoln Birthplace NHP,1952,"239,371",,,,
Abraham Lincoln Birthplace NHP,1953,"260,764",,,,
Abraham Lincoln Birthplace NHP,1954,"284,500",,,,
Abraham Lincoln Birthplace NHP,1955,"235,000",,,,
Abraham Lincoln Birthplace NHP,1956,"287,800",,,,
Abraham Lincoln Birthplace NHP,1957,"287,500",,,,
Abraham Lincoln Birthplace NHP,1958,"186,900",,,,
Abraham Lincoln Birthplace NHP,1959,"353,700",,,,
Abraham Lincoln Birthplace NHP,1960,"331,300",,,,
Abraham Lincoln Birthplace NHP,1961,"297,500",,,,
Abraham Lincoln Birthplace NHP,1962,"315,800",,,,
Abraham Lincoln Birthplace NHP,1963,"293,400",,,,
Abraham Lincoln Birthplace NHP,1964,"284,600",,,,
Abraham Lincoln Birthplace NHP,1965,"371,600",,,,
Abraham Lincoln Birthplace NHP,1966,"397,200",,,,
Abraham Lincoln Birthplace NHP,1967,"403,700",,,,
Abraham Lincoln Birthplace NHP,1968,"397,000",,,,
Abraham Lincoln Birthplace NHP,1969,"555,300",,,,
Abraham Lincoln Birthplace NHP,1970,"486,600",,,,
Abraham Lincoln Birthplace NHP,1971,"489,300",,,,
Abraham Lincoln Birthplace NHP,1972,"557,439",,,,
Abraham Lincoln Birthplace NHP,1973,"522,800",,,,
Abraham Lincoln Birthplace NHP,1974,"413,900",,,,
Abraham Lincoln Birthplace NHP,1975,"406,500",,,,
Abraham Lincoln Birthplace NHP,1976,"351,800",,,,
Abraham Lincoln Birthplace NHP,1977,"396,600",,,,
Abraham Lincoln Birthplace NHP,1978,"355,687",,,,
Abraham Lincoln Birthplace NHP,1979,"271,231",0,0,0,
Abraham Lincoln Birthplace NHP,1980,"239,074",0,0,0,
Abraham Lincoln Birthplace NHP,1981,"252,245",0,0,0,
Abraham Lincoln Birthplace NHP,1982,"318,707",0,0,0,
Abraham Lincoln Birthplace NHP,1983,"256,126",0,0,0,
Abraham Lincoln Birthplace NHP,1984,"258,023",0,0,0,
Abraham Lincoln Birthplace NHP,1985,"264,905",0,0,0,
Abraham Lincoln Birthplace NHP,1986,"280,620",0,0,0,
Abraham Lincoln Birthplace NHP,1987,"292,825",0,0,0,
Abraham Lincoln Birthplace NHP,1988,"288,324",0,0,0,
Abraham Lincoln Birthplace NHP,1989,"309,823",0,0,0,
Abraham Lincoln Birthplace NHP,1990,"307,669",0,0,0,
Abraham Lincoln Birthplace NHP,1991,"316,945",0,0,0,
Abraham Lincoln Birthplace NHP,1992,"302,739",0,0,0,
Abraham Lincoln Birthplace NHP,1993,"293,710",0,0,0,
Abraham Lincoln Birthplace NHP,1994,"279,542",0,0,0,
Abraham Lincoln Birthplace NHP,1995,"268,509",0,0,0,
Abraham Lincoln Birthplace NHP,1996,"249,344",0,0,0,
Abraham Lincoln Birthplace NHP,1997,"262,889",0,0,0,
Abraham Lincoln Birthplace NHP,1998,"250,842",0,0,0,
Abraham Lincoln Birthplace NHP,1999,"251,204",0,0,0,
Abraham Lincoln Birthplace NHP,2000,"236,180",0,0,0,
Abraham Lincoln Birthplace NHP,2001,"229,675",0,0,0,
Abraham Lincoln Birthplace NHP,2002,"250,772",0,0,0,
Abraham Lincoln Birthplace NHP,2003,"211,650",0,0,0,
Abraham Lincoln Birthplace NHP,2004,"201,828",0,0,0,
Abraham Lincoln Birthplace NHP,2005,"190,809",0,0,0,
Abraham Lincoln Birthplace NHP,2006,"200,054",0,0,0,
Abraham Lincoln Birthplace NHP,2007,"202,950",0,0,0,
Abraham Lincoln Birthplace NHP,2008,"200,404",0,0,0,
Abraham Lincoln Birthplace NHP,2009,"221,111",0,0,0,
Abraham Lincoln Birthplace NHP,2010,"177,122",0,0,0,
Abraham Lincoln Birthplace NHP,2011,"163,568",0,0,0,
Abraham Lincoln Birthplace NHP,2012,"169,515",0,0,0,
Abraham Lincoln Birthplace NHP,2013,"163,928",0,0,0,
Abraham Lincoln Birthplace NHP,2014,"241,264",0,0,0,
