"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-05-31,274772,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,292700,0.0107044198895028,0.0401563610518834,0.127069695802849,0.114270483463848,0.051171383682828,"2017-05","2017-Q2",292700,0,"2017-05"
2017-05-31,192689,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,205100,0.00786240786240786,0.0219232685600399,0.112859468258275,0.142851977532156,-0.0282635431970597,"2006-07","2006-Q3",290500,-0.293975903614458,"2004-06"
2017-05-31,112345,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,150700,0.00533689126084056,0.0134498991257566,0.114644970414201,0.201044746829268,-0.0227524458795227,"2007-01","2007-Q1",192900,-0.218766200103681,"2005-09"
2017-05-31,27080,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",3,890000,0.0036084799278304,0.0117085370012504,0.0697115384615385,0.0829912747048385,0.0137359653024463,"2017-05","2017-Q2",890000,0,"2017-05"
2017-05-31,118208,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,429200,0.00916999764871855,0.0402326708676684,0.15005359056806,0.123940712471037,-0.00588596260684682,"2007-05","2007-Q2",455300,-0.0573248407643312,"2006-07"
2017-05-31,270957,"Upper East Side","NY","New York","New York","New York",5,1336200,0.0470966225217459,0.115824634655532,0.271481587210962,0.097465429857853,0.0429474683296975,"2017-05","2017-Q2",1336200,0,"2017-05"
2017-05-31,192820,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",6,169000,0.0113704368641532,0.0254854368932039,0.125916055962692,0.176741249226321,-0.0379753928110186,"2006-10","2006-Q4",258700,-0.346733668341709,"2004-06"
2017-05-31,194430,"East New York","NY","New York","Kings","New York",7,397600,0.0150625478682665,0.0416557505894682,0.114037545530961,0.0681849237102998,0.00546773656018651,"2017-05","2017-Q2",397600,0,"2017-05"
2017-05-31,192796,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",8,224300,0.00808988764044944,0.0237334550433592,0.11814556331007,0.13554033862279,-0.0237686499467187,"2006-05","2006-Q2",303700,-0.261442212709911,"2004-06"
2017-05-31,268496,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",9,359400,0.00279017857142857,0.0268571428571429,0.114764267990074,0.128577933896805,-0.0124092118726487,"2007-04","2007-Q2",407700,-0.118469462840324,"2006-04"
