CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1713290,16000126804,2016126804,064,SHOPLIFT,THEFT,SHOPLIFTING,04/13/2016 10:03:31 AM,4XX BLOCK OF PINE ST,M,M2,8100.2000,-122.33732,47.61132,"(47.61132, -122.33732)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,04/13/2016 05:58:49 AM
55559,10000304213,2010304213,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,08/31/2010 10:10:00 AM,40XX BLOCK OF 57TH AVE SW,W,W2,9701.4004,-122.404917464,47.56776084,"(47.56776084, -122.404917464)",,,,
2033538,14000174026,2014174026,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,06/02/2014 06:29:00 PM,4XX BLOCK OF 19 AV E,C,C1,7600.2001,-122.307314921,47.622639231,"(47.622639231, -122.307314921)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,06/02/2014 03:09:00 PM
2123370,14000248915,2014248915,201,ALARMS - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,07/29/2014 04:17:00 PM,37XX BLOCK OF S COURT ST,R,R1,10100.6011,-122.285559566,47.570680739,"(47.570680739, -122.285559566)","ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALARMS,SUSPICIOUS CIRCUMSTANCES,
2006195,17000184658,2017184658,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,05/25/2017 08:08:11 AM,14 AV S / S COLUMBIAN WY,R,R1,9300.3108,-122.3148,47.572144,"(47.572144, -122.3148)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1951284,17000082521,201782521,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,03/08/2017 08:00:58 AM,11XX BLOCK OF E FIR ST,G,G1,8600.3009,-122.317444,47.602688,"(47.602688, -122.317444)",CRISIS - PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,BEHAVIORAL HEALTH,CRISIS CALL,03/08/2017 05:49:41 AM
1514263,15000278493,2015278493,100,FRAUD (INCLUDING IDENTITY THEFT),FRAUD CALLS,FRAUD CALLS,08/11/2015 06:38:00 PM,21XX BLOCK OF N 106 ST,N,N3,1200.5011,-122.333274747,47.705938563,"(47.705938563, -122.333274747)",TRU - FORGERY/CHKS/BUNCO/SCAMS/ID THEFT,FRAUD CALLS,FRAUD CALLS,08/11/2015 05:51:00 PM
1647529,16000010029,201610029,074,LICENSE PLATE THEFT OR LOSS,CAR PROWL,CAR PROWL,01/09/2016 04:29:16 PM,53XX BLOCK OF 8 AV NE,U,U1,4500.1002,-122.31952,47.66786,"(47.66786, -122.31952)","AUTO - THEFT/LOSS, PLATES AND/OR TAB",AUTO THEFTS,AUTO RECOVERIES,01/09/2016 01:25:29 PM
1717855,16000135026,2016135026,350,HAZARDS,HAZARDS,HAZARDS,04/19/2016 02:44:20 PM,N 105 ST / AURORA AV N,N,N3,1300.2007,-122.344696,47.705048,"(47.705048, -122.344696)",HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS,HAZARDS,
1826969,16000322056,2016322056,350,HAZARDS,HAZARDS,HAZARDS,09/05/2016 08:12:46 PM,S MICHIGAN ST / E MARGINAL WY S,O,O3,10900.2103,-122.33131,47.54488,"(47.54488, -122.33131)",HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS,HAZARDS,09/05/2016 02:34:30 PM
1821248,16000312362,2016312362,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,08/29/2016 01:08:25 AM,17XX BLOCK OF E MADISON ST,C,C3,7900.4005,-122.309494,47.615864,"(47.615864, -122.309494)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,
454754,11000321595,2011321595,161,TRESPASS ,TRESPASS,TRESPASS,09/30/2011 09:20:00 AM,37XX BLOCK OF CALIFORNIA AVE SW,W,W2,9800.6001,-122.386766491,47.570725522,"(47.570725522, -122.386766491)",,,,
1654069,16000021284,201621284,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,01/19/2016 03:10:20 AM,39XX BLOCK OF S OTHELLO ST,S,S1,11001.2008,-122.28235,47.537045,"(47.537045, -122.28235)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,
1907851,16000468418,2016468418,371,PROPERTY - MISSING,"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",12/31/2016 02:38:37 PM,14 AV / E UNION ST,E,E2,7500.4012,-122.31417,47.612915,"(47.612915, -122.31417)","PROPERTY, LOST OR MISSING","PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",
1532017,15000300054,2015300054,064,SHOPLIFT,THEFT,SHOPLIFTING,08/27/2015 09:01:00 PM,4XX BLOCK OF PINE ST,M,M2,8100.2000,-122.337320424,47.611321238,"(47.611321238, -122.337320424)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,
1110708,15000185560,2015185560,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,06/04/2015 12:09:00 PM,14XX BLOCK OF 3 AV,M,M3,8100.2013,-122.337338747,47.609252981,"(47.609252981, -122.337338747)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
1621275,15000417194,2015417194,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,12/01/2015 06:14:23 AM,N 98 ST / LINDEN AV N,N,N3,1300.3008,-122.347336,47.70053,"(47.70053, -122.347336)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,
1723312,16000144495,2016144495,415,BLOCKING VEHICLE,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,04/26/2016 03:46:26 PM,3 AV / UNIVERSITY ST,M,M3,8100.2034,-122.335976,47.60776,"(47.60776, -122.335976)",TRAFFIC - BLOCKING ROADWAY,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,
568088,11000156213,2011156213,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,05/16/2011 10:57:00 PM,6XX BLOCK OF 5TH AVE S,K,K2,9100.1014,-122.327836298,47.594203678,"(47.594203678, -122.327836298)",,,,
1288742,13000019563,201319563,350,HAZARDS,HAZARDS,HAZARDS,01/17/2013 05:09:00 PM,AURORA AV N / N 117 PL,N,N1,600.3005,-122.344854055,47.714775471,"(47.714775471, -122.344854055)",,,,
2189231,14000368112,2014368112,201,ALARMS - RESIDENTIAL BURGLARY (FALSE),BURGLARY ALARMS (FALSE),FALSE ALARMS,11/03/2014 10:55:00 AM,30XX BLOCK OF S CHICAGO ST,O,O3,11700.2002,-122.292715678,47.532391225,"(47.532391225, -122.292715678)","ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",ALARMS,SUSPICIOUS CIRCUMSTANCES,11/03/2014 10:38:00 AM
1757972,16000205261,2016205261,177,LIQUOR VIOLATION - INTOXICATED PERSON,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,06/09/2016 08:31:57 PM,1 AV / YESLER WY,K,K1,9200.2007,-122.33418,47.601723,"(47.601723, -122.33418)",DETOX - REQUEST FOR,LIQUOR VIOLATIONS,LIQUOR VIOLATIONS,
660854,11000081565,201181565,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/11/2011 09:54:00 PM,20XX BLOCK OF 7TH AVE,M,M2,7300.3028,-122.337645635,47.615170057,"(47.615170057, -122.337645635)",,,,
