RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06
99561,98101,Seattle,WA,Seattle,King,4112,0,0,148000,0,0,0,0,0,0,0,0,0,0,0,191500,237676.4706,219725,184050,166480,0,138113.8462,129538.2353,134300,137100,132100,144750,144375,138867.5,137207.5,149342.5,0,0,0,0,0,0,0,179950,0,0,178000,0,0,0,180500,0,0,227000,0,0,0,0,0,0,0,0,0,0,0,243000,0,247615.3846,0,0,379000,0,0,0,0,0,0,0,255500,0,0,0,0,0,0,0,205950,210655.8824,220775,246567.5,233282.5,219692.5,240700,,196576.9231,236579.4118,261682.5,288250,289750,259950,267175,268132.5,285792.5,0,249769.2308,252647.0588,0,0,210000,245294.1176,237500,255550,256350,320000,291600,303850,299900,326750,290850,0,346038.4615,297941.1765,301650,0,322307.6923,0,313000,262352.9412,256645,243821.5,256931,262542.5,0,0,0,340000,0,389250,463980.8824,461661.25,455175,385442.5,369975,405882.5,0,394384.6154,0,0,0,0,0,342000,349647.0588,0,0,325000,0,0,3562125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460000,475588.2353,483775,466625,0,0,495000,0,431153.8462,0,402769.2308,459411.7647,0,422538.4615,437823.5294,,456538.4615,0,439769.2308,0,0,0,0,0,389000,409588.2353,354750,0,0,0,139000,280764.7059,0,491538.4615,448588.2353,464035,,405538.4615,390176.4706,376800,313400,393800,450250,0,0,0,450000,673529.4118,0,583846.1538,542352.9412,509250,433000,409125,415525,457380,484270,0,507115.3846,501176.4706,487750,,494461.5385,546176.4706,489975,424525,476050,575200,0,0,660000,639411.7647,613500,550750,568707.5
99562,98102,Seattle,WA,Seattle,King,1484,179115,184210,170625,170525,184500,196475,188000,231600,193400,175275,0,154603.8462,168529.4118,185775,190050,204025,204200,181700,181800,183750,183700,170200,168090,167917.5,170117.5,197625,194400,195250,185350,184670,180098,207212,200300,214300,200450,203000,195125,222425,215882.5,0,252217.5,217732.5,188642.5,210895,0,295875,302225,294482.5,283642.5,259100,238900,0,313450,269900,231500,228615,216985,256275,275350,280457.5,258975,304767.5,278975,249665,252335,270107.5,0,332912.5,0,238050,227200,239850,261650,289750,286925,275782.5,270942.5,254675,263850,298425,282350,285750,284100,288607.5,261217.5,300525,288725,257870.5,266374.1,272356.4,288745,275496.5,274748.5,277375,268000,247625,260450,275975,299032.5,307642.5,304350,300600,269107.5,261117.5,266082.5,283442.5,284465,320735,321900,333765,324185,391757.5,366742.5,382450,371800,382250,467875,489875,449475,410232.5,381792.5,405700,389000,358757.5,333792.5,349582.5,349805,374370,388092.5,368950,370900,366140,401417.5,423892.5,416500,411550,369600,346100,359950,372800,374000,375250,385650,372600,383500,435750,419750,415750,381500,422200,419215,446935,435230,422620,366500,0,396923.0769,384705.8824,346000,331750,322000,310500,328250,315450,311875,343375,361800,331850,316815,340535,379200,346875,315582.5,324992.5,308250,0,0,0,370000,411911.7647,577687.5,487302.5,399908,324607,329600,377400,402250,331000,0,0,435000,408823.5294,417750,409425,344125,291425,302325.5,307475.35,354887.65,439637.5,575700,507250,392400,326825,356232.5,381417.5,399575,418625,395625,380325,392425,403925,384700,0,399384.6154,344676.4706,428775,462500,422375,395493,383057.6,462460.4,425850,462000,425000,396250,424750,421750,476250,506500,495550,464145,450250,447896.5,,522700,568750,478400,589450,539900,562000,470100,450100
99563,98103,Seattle,WA,Seattle,King,165,167825,165525,171850,176950,169350,170150,178850,178350,169577.5,165836.5,165051,170225,173500,177000,192150,186875,197400,194825,193000,188750,191625,185825,194740,209347.5,212187.5,220432.5,216342.5,218600,234000,223207.5,229192.5,214690,215467.5,219912.5,230889,236606,231775,233100,241700,245050,245150,236675,241825,246850,245000,246500,263500,278700,274740,281460,286750,270182.5,268475,275992.5,274825,273475,258575,256832.5,254742.5,262150,279575,278525,278750,288500,297000,309000,302800,285250,285950,294750,297450,292050,309700,304550,295200,306750,314300,309000,317211,318472.7,317588.3,300150,297000,302750,312750,310475,322025,308750,309775,316475,336000,342250,327200,314800,317500,342725,344482.5,352342.5,358150,368225,360400,341032.5,356207.5,359985,371775,356225,338325,349675,361500,378775,398950,389732.5,381917.5,388932.5,397192.5,392650,389250,373900,368850,368150,384100,412475,398026,415450.7,403800.3,411700,420130,467095,441012.5,425370,399192.5,422250,442400,447162.5,402143.75,391818.75,401350,385225,418232.5,439492.5,439145,423941.5,395395,410123.5,428125,439225,452482.5,448742.5,448725,439982.5,408542.5,417600,410850,383500,393750,409400,397000,384325,377525,394000,389250,392825,382550,359550,367825,411375,403050,401250,389500,394300,415100,411700,459875,458275,425500,384500,375500,374125,365582.5,395467.5,371232.5,360742.5,385550,413200,411725,424232.5,431842.5,410900,407550,419010,436140,399900,372700,357465,406385,417955,398695,371225,408825,394200,410125,395125,403675,436275,433300,435400,463600,476750,455000,431400,436350,455450,456300,465250,476600,472125,446932.5,431292.5,438000,486457.5,496992.5,458300,453850,436935,430015,404250,448500,450250,514750,567500,566950,551800,561750,560750,540175,589782,539992.15,559149.85,578600,594250,551155,566758.5,604396.5
99564,98104,Seattle,WA,Seattle,King,5184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296000,291294.1176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415000,0,357269.2308,0,354603.8462,436647.0588,0,0,0,0,0,0,0,0,535000,0,0,279900,281135.2941,275685,336300,0,0,0,0,0,293450,266126.4706,282717.5,270075,286690,290185,274325,259582.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289000,0,0,0,0,0,0,0,0,0,0,0,0,428751,0,329711.7692,0
99565,98105,Seattle,WA,Seattle,King,1130,202350,195250,206875,211925,209450,201300,204025,191382.5,183192.5,178375,184225,190700,198750,208150,216845,214946.5,217798.5,210700,210350,201650,214700,219050,220865,234635,250407.5,245992.5,265379,292115.3,270421.2,239392.5,237400,295500,310000,290000,266050,258035,263422.5,259042.5,271950,293075,276425,258965,264985,305500,297500,279050,281200,263000,270750,293250,331446.5,322662.55,313883.95,316650,341100,320200,303115,295985,298225,305175,330875,337625,325500,297200,311220,338931.5,346313.5,371482.5,369917.5,363032.5,343217.5,336232.5,326742.5,359750,353750,361500,349750,347000,327250,331600,346325,355282.5,333567.5,351382.5,358142.5,358400,353325,356250,348875,360500,362750,367100,389300,367050,349025,381732.5,407242.5,388995,373436.5,366131.5,365807,383500,394200,402425,402975,446275,431775,426025,425475,435405,458495,441150,466600,481900,461350,434500,469600,458550,440557.5,505917.5,510075,493800,482850,494250,497250,473850,476250,503650,493850,503000,479275,499430,526990.75,621749.25,590350,588895,558746.5,573998.5,612500,565500,507150,0,393000,372250,437725,528732.5,525867.5,483375,420500,381200,437542.5,494469.75,520522.75,491100,503650,0,514384.6154,492352.9412,494500,477000,475500,504150,528600,523900,529350,0,439230.7692,465470.5882,518100,524250,440750,465500,513625,537875,553875,533250,521500,451725,594450,0,509615.3846,436176.4706,452250,476500,428750,428750,403000,429250,0,441730.7692,,583461.5385,532882.3529,539050,509250,460500,506950,504300,479150,464000,481850,430000,425150,410050,491000,564290,623910,584550,546010,492540,454000,433950,472400,0,547884.6154,553779.4118,551512.5,695150,640000,559950,553200,547000,540600,565150,570750,576550,,522615.3846,578694.1176,628810,622250,630750,633967.5,620172.25,619995.25,732650,800100,746250,695750,672400,725255,740195,858700
99566,98106,Seattle,WA,Seattle,King,3684,113850,111175,107425,99825,99270,104486.5,106133.5,103250,105675,112947.5,125627.5,122850,120675,117825,108950,112550,112000,116500,115975,121982.5,126867.5,126125,125025,126682.5,128392.5,125500,122925,123412.5,132487.5,136082.5,131242.5,133150,132025,137432.5,139342.5,135357.5,145492.5,144800,143700,138200,146275,145657.5,140517.5,144050,150600,155150,150500,154207.5,157942.5,164390,170635,166595,159780,165750,156175,153922.5,165502.5,166075,176900,182282.5,182942.5,178950,182490,180085,177965,178118,173187,179610,178425,177075,177337.5,177362.5,178175,179857.5,182817.5,186940,194210,198457.5,192725,189892.5,186807.5,186242.5,196100,200175,201475,216825,219682.5,216542.5,199100,202550,194075,200287.5,210437.5,208175,202707.5,205800,215367.5,217175,218625,229250,227000,233375.5,234762.85,234362.65,220425,222582.5,229192.5,232750,240950,246450,254750,264775,258950,262525,269975,277282.5,265292.5,263275,265995,286971.5,297748.5,293075,292032.5,298292.5,298465,302735,306875,307962.5,308336.25,309151.25,309350,323150,323680,323116,320514,325275,321432.5,316057.5,324085,321550,320500,336725,312220,310733.75,311146.25,311600,312200,303800,291250,290275,297975,295000,290787.5,0,285417.3077,302147.0588,296750,307950,287682.5,292162.5,287450,288450,290725,278875,275750,284808.5,269178.45,256180.05,256218.5,256562.95,258605.55,239225,0,0,0,218411.7647,232600,232000,0,240376.9231,0,229613.0769,224411.7647,209450,0,187215.3846,179117.6471,189000,175384.6154,0,0,180000,0,229230.7692,232823.5294,252850,231250,,194520,202640.1176,233818.9,224550,0,228538.4615,229735.2941,242725,254525,262627.5,258097.5,240985,249290,264225,260250,0,0,276500,294147.0588,286250,299725,324500,305850,295155,294103.5,293566.5,303635,0,303460.7692,304705.4706,312799.85,338150,338568,336707.1,331630.9,340750,374500,383750,357400,347650,334900,344550,374350,376600,368025
99567,98107,Seattle,WA,Seattle,King,2454,149117.6471,149975,150432.5,150642.5,154150,150800,154460,161037,157260.5,145262.5,154925,158825,163550,166600,174807.5,168342.5,170300,164100,170550,176000,174675,173332.5,172782.5,176601.5,186386.5,189956.6,198531.4,212982.5,206375,201467.5,209525,210900,226635,218265,210550,221250,221375,225375,234900,225100,223500,230775,0,240000,238205.8824,231432.5,251767.5,244982.5,237992.5,255875,257875,252000,245750,270000,264975,250482.5,233092.5,244307.5,249707.5,264235,266400,272057.5,263842.5,258125,255982.5,261642.5,259940,259617.5,266392.5,249650,251400,264907.5,282642.5,283300,293775,289525,279450,274300,266750,266500,271475,262225,271550,282225,295232.5,292442.5,293075,291225,302000,302875,301875,310000,309500,304725,300207.5,294350,294900,305042.5,319625,305075,258675,246300,264130,301285,337135,332965,332550,329985,339400,345527.5,349169.25,356063.75,366849.5,385600,384993.5,372575.2,372943.3,387110,374482.5,374192.5,383715,397735,414500,422700,419050,383125,396875,414750,423253.5,421600.95,430375.5,422154.05,429450,436965,440535,439600,391700,344840,337525,377500,400235,411500,420000,415592.5,414179.75,411312.75,405725,382982.5,387017.5,396932.5,397742.5,387950,395300,374450,358300,352075,361475,378657.5,375192.5,359050,376850,399195,392455,388200,350250,351250,337500,348500,369250,375125,362832.5,0,396153.8462,402647.0588,374117.5,356875,354325,342575,338275,351582.5,374492.5,371325,350875,367082.5,367442.5,384800,381975,366582.5,0,0,345000,327500,331911.7647,353875,383320,383774,368421,330100,345732.5,376242.5,0,334615.3846,323794.1176,387732.5,413492.5,419550,404692.5,415494.75,427247.75,429250,419000,422750,402350,,433846.1538,407676.4706,408317.5,442657.5,475125,499150,471300,467425,470375,470250,458985,452115,389000,389800,450950,521800,522950,503000,450800,479200,535250,549250,558222.5,496530.75,555941.75,549200,545750,560175,580487.5
99568,98108,Seattle,WA,Seattle,King,5047,122450,114800,118225,133950,134557.5,128615,118802.5,127950,132915,128885,135300,128050,114025,117632.5,131267.5,133670,135811.5,134866,137607.5,133558,136132,,141923.0769,135117.6471,140832.5,141775,133442.5,136980,136820,152750,161375,150375,154500,145750,137175,135775,145965,149710,155632.5,161017.5,166325,167650,154975,155825,169000,175500,172550,153050,154750,159715,171950,183585,188200,200850,192575,192375,200250,177750,174000,175500,198500,196450,205475,195032.5,201467.5,222025,216200,206275,196732.5,191717.5,194825,203200,210445,232111.5,215108.5,199225,192500,201750,219000,227875,230975,227170,204905,210425,210850,221400,223250,235575,224625,233275,237512.5,245837.5,223457.5,226475,227292.5,229475,225482.5,224742.5,241200,252525,242632.5,240842.5,261450,263975,267116.5,257913.3,256483.2,259950,269050,268675,279050,292232.5,302692.5,297750,300050,300225,308232.5,299717.5,285882.5,289092.5,303400,323100,328350,330350,339400,351800,355850,333250,348650,367305,382302.5,392242.5,359407.5,362007.5,348235,360950,361150,339600,313475,314207.5,,409615.3846,367823.5294,345030,331370,341450,332300,314475,327982.5,338492.5,0,0,330000,0,0,0,275000,276470.5882,288375,299125,306250,293900,299350,308000,316750,0,0,240000,,324615.3846,308823.5294,0,0,322000,0,0,0,0,272000,0,0,0,265000,,275769.2308,0,256692.3077,0,0,0,0,0,0,305000,278529.4118,244250,264225,261810,257196.75,0,0,256000,0,0,255000,291470.5882,274700,297900,0,0,415000,326764.7059,337500,0,0,0,312800,325858.8235,305420,269000,297250,320500,322375,358375,0,0,275000,307352.9412,324250,326750,362250,347750,396325,380075,364850,349750,346975,0,447915.3846,461058.8235,443825,417775,409500
99569,98109,Seattle,WA,Seattle,King,1295,213887.5,227525,262250,248500,233700,218765,194585,0,232115.3846,244088.2353,236607.5,199080,219787.5,214000,205700,197465,200960,201350,197675,192875,195557.5,193975,217842.5,212850,212450,204150,234275,236175,244200,241525,205982.5,212642.5,221350,224875,214125,214100,248950,266925,291525,284476,285928.2,272522.8,302287.5,276437.5,261750,298500,320525,320925,0,257610,237159.5,267733,237967.5,250477.5,237314,257131,315167.5,285825,261000,277500,283550,315190,296885,291232.5,281967.5,278982.5,265742.5,285000,278900,301575,266882.5,246622.5,251970,291925,271227.5,282253,282024.5,308975,352725,320500,289400,323550,298757.5,317292.5,289700,322950,327450,318475,284862.5,317362.5,330650,339707.5,0,230525,248682.5,260017.5,275250,305700,309957.5,305225,312492.5,310550,305005,325286.5,337323.5,356425,382995,357246.5,352743.5,323496.5,312643.5,327646.5,373698.5,377250,378625,330550,334675,306650,309375,312777.5,321489,346313.5,385550,373230,372971.5,429706,427950,425375,398417.5,371650,366932.5,371957.5,381510,399375,414108.5,427325.45,416503.05,401950,437000,454950,456800,418550,417250,433250,447000,449975,402982.5,402092.5,427900,459750,399500,0,0,525000,0,348500,347250,372750,453000,409750,368500,328500,388875,362370,324496.5,367998.5,352000,349100,314150,324500,370350,406400,361750,367250,399000,407250,387750,0,344615.3846,348881.1765,330569.3,0,427307.6923,478676.4706,438375,491750,0,463846.1538,0,0,399000,288529.4118,336475,378707.5,359475,363742.5,371725,339982.5,349492.5,351250,323750,381500,444950,437290,392285,348332.5,350492.5,418700,421550,413500,380975,417000,426700,353100,0,320461.5385,374411.7647,423450,392800,413825,376100,384325,374900,341850,372250,407750,359750,356875,366875,424500,413650,411350,449625,420125,441850,413670,397980,434700,466500,462550,459950,439475,456732.5
99572,98112,Seattle,WA,Seattle,King,3689,237650,263600,264232.5,271392.5,268475,262375,254350,226025,257587.5,274537.5,277150,321500,310175,316132.5,287242.5,0,341200,308550,303350,296270,304280,276000,328375,320775,356600,355750,338500,353750,372950,366700,362100,364400,342250,325550,321525,306025,357400,387075,429932.5,469667.5,478125,429150,365850,365750,403250,436100,408900,432700,412800,380250,402750,413250,378250,339100,376900,418150,427350,,370925,394175,430100,466500,451250,454150,458100,0,421597.5,394327.5,398925,387972.5,396702.5,473500,472000,523650,521100,526550,514950,497250,508000,485950,509200,427500,434525,465272.5,455402.5,482000,485000,466000,451000,463115,455230.5,433384.5,473750,446000,397500,480125,480375,485175,498325,556500,568750,518495,567746.5,605698.5,568175,559675,530000,462845,523055,595250,603750,617250,577750,635750,632000,643750,606150,553575,537232.5,569742.5,547500,595050,679050,741960,804690,787100,720000,658500,635500,610700,600800,635650,763600,710000,790500,734073.5,697801.45,749272.05,667000,647750,622500,567800,594450,643250,735475,735482.5,731942.5,740700,755000,734850,680000,0,604230.7692,0,0,365384.6154,452058.8235,493582.5,586487.5,588980,576625,593500,585050,590450,654750,584500,636750,526550,787450,792350,789900,693750,671375,611625,622250,687200,683640,621560,607200,563565,568985,658870,686080,722900,734000,667250,602950,636525,627800,685500,774950,523588.2353,652200,600500,558500,520300,576125,662825,803500,714450,739750,0,719884.6154,710055.8824,725127.5,693625,764875,721250,707850,631900,647000,761250,775400,640750,556930,670220,757350,689900,779500,930750,875000,0,682250,724300,753400,678550,703750,0,974150,907500,867000,854250,880750,868900,0,1066750,0,0,780307.6923,864294.1176,1012850,1004150,913200
