Neighborhood,Zipcode,Population,PopulationDensity,MedianHouseHoldIncome,MedianRent,Zhvi,MedianSchoolRating,WalkScore,TransitScore,BikeScore
Adams,98107,11610,13025,87920,1389,0,0,0,0,0
Alki,98116,5003,5964,110441,1244,761800,9,52,34,43
Allentown,98178,9234,3393,59063,998,0,0,0,0,0
Arbor Heights,"98126,98136,98146",10754,10536,98170,1573,546100,6,39,41,26
Atlantic,98144,11429,15186,58305,1170,0,6.5,80,67,81
Ballard,"98117,98107",49524,12289,102095,1489,608100,9.5,87,51,80
Belltown,"98121,98101",9700,19025,80401,1169,509100,0,97,98,77
Bitter Lake,98133,10448,10600,59940,946,511500,0,68,48,66
Briarcliff,98199,4710,4639,158870,2221,0,0,50,33,36
Brighton,98118,10201,15437,70886,1010,467200,0,74,60,61
Broadview,"98133,98177",7608,4434,96057,1101,718500,4.5,45,43,40
Broadway,"98102,98112,98122",19438,18222,88563,1383,0,0,0,0,0
Bryant,"98115,98105",7684,14441,132711,1561,796100,10,72,46,80
Bryn Mawr,98178,3613,6646,77000,1358,0,0,0,0,0
CBD,"98101,98104",4553,14507,73182,1370,0,0,0,0,0
Capitol Hill,"98102,98112,98122",46246,11651,105534,1454,595600,5.5,91,73,69
Cascade,"98109,98102",13543,11919,95671,1686,0,0,0,0,0
Cedar Park,98125,5972,8279,84206,1032,609600,0,69,51,58
Central Area,"98112,98122,98144",49913,14027,101962,1384,0,8,88,67,80
Chinatown,"98104,98144",4690,21189,39904,754,0,0,97,100,69
Columbia City,"98144,98108,98118",12925,10267,66416,979,551500,5,84,59,55
Crown Hill,"98117,98177",6419,11184,107789,1685,626700,0,76,51,60
Delridge,"98126,98106",28763,5032,67774,1201,0,6,0,0,0
Downtown,"98121,98122,98101,98104",35093,18186,62516,1114,684200,0,99,100,67
Dunlap,98118,6737,9514,57697,939,402400,3,74,57,66
Duwamish,"98108,98118,98178",1753,1645,48828,893,0,0,0,0,0
East Queen Anne,98109,10642,16264,118029,1565,870700,0,81,67,57
Eastlake,98102,2695,8145,94691,1491,602000,8,74,59,64
Fairmount Park,"98116,98126,98136",6021,11968,92702,1303,576800,0,77,51,54
Fauntleroy,"98126,98136,98146",4376,2935,100264,1193,766700,0,47,45,30
First Hill,"98122,98101,98104",9344,27992,52920,1250,424100,0,97,98,74
Foster,98112,20790,4745,49454,896,0,0,0,0,0
Fremont,"98103,98107",14567,15204,90332,1317,720800,6,84,58,77
Gatewood,"98126,98136",7594,9934,103106,1196,644500,7,65,47,47
Genesee,"98116,98126",8138,10733,93222,1258,696900,0,81,50,49
Georgetown,98108,1568,582,61161,843,0,0,69,46,63
Green Lake,"98115,98103",12136,7171,108835,1499,779900,8.5,81,53,84
